del_county	del_state	del_county_full_name	pop_density	median_hh_income
Autauga County	AL	"Autauga County, Alabama"	38.19413768	58731
Baldwin County	AL	"Baldwin County, Alabama"	56.28614649	58320
Barbour County	AL	"Barbour County, Alabama"	11.00403042	32525
Bibb County	AL	"Bibb County, Alabama"	13.82778565	47542
Blount County	AL	"Blount County, Alabama"	35.40408812	49358
Bullock County	AL	"Bullock County, Alabama"	6.420622498	37785
Butler County	AL	"Butler County, Alabama"	9.468675891	40688
Calhoun County	AL	"Calhoun County, Alabama"	74.20187184	47255
Lewis County	KY	"Lewis County, Kentucky"	10.45940894	31147
Lincoln County	KY	"Lincoln County, Kentucky"	28.15927783	42919
Livingston County	KY	"Livingston County, Kentucky"	10.9544109	50839
Logan County	KY	"Logan County, Kentucky"	19.1802123	48014
Lyon County	KY	"Lyon County, Kentucky"	15.67215266	52528
McCracken County	KY	"McCracken County, Kentucky"	105.3645188	46080
McCreary County	KY	"McCreary County, Kentucky"	15.27749677	28105
Madison County	KY	"Madison County, Kentucky"	81.83742411	50060
Marion County	KY	"Marion County, Kentucky"	22.0386178	40107
Marshall County	KY	"Marshall County, Kentucky"	40.44779985	55113
Mason County	KY	"Mason County, Kentucky"	27.52745848	45377
Meade County	KY	"Meade County, Kentucky"	37.92597466	56603
Mercer County	KY	"Mercer County, Kentucky"	35.09834967	55093
Metcalfe County	KY	"Metcalfe County, Kentucky"	13.7116298	37386
Montgomery County	KY	"Montgomery County, Kentucky"	55.00304038	45516
Morgan County	KY	"Morgan County, Kentucky"	13.90517887	36134
Nelson County	KY	"Nelson County, Kentucky"	43.22073829	60127
Nicholas County	KY	"Nicholas County, Kentucky"	14.91099412	38149
Oldham County	KY	"Oldham County, Kentucky"	139.4074129	99128
Owen County	KY	"Owen County, Kentucky"	12.40205667	48801
Pendleton County	KY	"Pendleton County, Kentucky"	20.40018868	54375
Pike County	KY	"Pike County, Kentucky"	28.79287885	34856
Powell County	KY	"Powell County, Kentucky"	28.32218612	37469
Robertson County	KY	"Robertson County, Kentucky"	8.473889385	
Rockcastle County	KY	"Rockcastle County, Kentucky"	19.56079484	35720
Russell County	KY	"Russell County, Kentucky"	27.38104105	38390
Scott County	KY	"Scott County, Kentucky"	78.31860652	70817
Simpson County	KY	"Simpson County, Kentucky"	32.30192467	48623
Spencer County	KY	"Spencer County, Kentucky"	40.30041313	80166
Todd County	KY	"Todd County, Kentucky"	12.62219069	44005
Trimble County	KY	"Trimble County, Kentucky"	21.57516183	53056
Union County	KY	"Union County, Kentucky"	15.39511656	46673
Washington County	KY	"Washington County, Kentucky"	15.63665653	53743
Wayne County	KY	"Wayne County, Kentucky"	16.47859812	34914
Whitley County	KY	"Whitley County, Kentucky"	32.37454289	39005
Wolfe County	KY	"Wolfe County, Kentucky"	11.40386129	24623
Androscoggin County	ME	"Androscoggin County, Maine"	91.69956191	53509
Aroostook County	ME	"Aroostook County, Maine"	3.883832845	41123
Franklin County	ME	"Franklin County, Maine"	6.70182471	51422
Hancock County	ME	"Hancock County, Maine"	13.49618605	57178
Knox County	ME	"Knox County, Maine"	42.93868516	57751
Lincoln County	ME	"Lincoln County, Maine"	29.84443847	57720
Penobscot County	ME	"Penobscot County, Maine"	17.29789682	50808
Piscataquis County	ME	"Piscataquis County, Maine"	1.637617618	40890
Somerset County	ME	"Somerset County, Maine"	4.966345309	44256
Washington County	ME	"Washington County, Maine"	4.684787422	41347
York County	ME	"York County, Maine"	82.57063495	67830
Anoka County	MN	"Anoka County, Minnesota"	332.9610902	82175
Becker County	MN	"Becker County, Minnesota"	10.32975444	60284
Beltrami County	MN	"Beltrami County, Minnesota"	7.12608283	49160
Benton County	MN	"Benton County, Minnesota"	39.12969369	57715
Big Stone County	MN	"Big Stone County, Minnesota"	3.995879646	
